Athlete,NOC,Discipline,Event,Medal,Edition
"HAJOS, Alfred",HUN,Swimming,100m freestyle,Gold,1896
"HERSCHMANN, Otto",AUT,Swimming,100m freestyle,Silver,1896
"DRIVAS, Dimitrios",GRE,Swimming,100m freestyle for sailors,Bronze,1896
"MALOKINIS, Ioannis",GRE,Swimming,100m freestyle for sailors,Gold,1896
"CHASAPIS, Spiridon",GRE,Swimming,100m freestyle for sailors,Silver,1896
"CHOROPHAS, Efstathios",GRE,Swimming,1200m freestyle,Bronze,1896
"HAJOS, Alfred",HUN,Swimming,1200m freestyle,Gold,1896
"ANDREOU, Joannis",GRE,Swimming,1200m freestyle,Silver,1896
"CHOROPHAS, Efstathios",GRE,Swimming,400m freestyle,Bronze,1896
"NEUMANN, Paul",AUT,Swimming,400m freestyle,Gold,1896
"PEPANOS, Antonios",GRE,Swimming,400m freestyle,Silver,1896
"LANE, Francis",USA,Athletics,100m,Bronze,1896
"SZOKOLYI, Alajos",HUN,Athletics,100m,Bronze,1896
"BURKE, Thomas",USA,Athletics,100m,Gold,1896
"HOFMANN, Fritz",GER,Athletics,100m,Silver,1896
"CURTIS, Thomas",USA,Athletics,110m hurdles,Gold,1896
"GOULDING, Grantley",GBR,Athletics,110m hurdles,Silver,1896
"LERMUSIAUX, Albin",FRA,Athletics,1500m,Bronze,1896
"FLACK, Edwin",AUS,Athletics,1500m,Gold,1896
"BLAKE, Arthur",USA,Athletics,1500m,Silver,1896
"GMELIN, Charles",GBR,Athletics,400m,Bronze,1896
"BURKE, Thomas",USA,Athletics,400m,Gold,1896
"JAMISON, Herbert",USA,Athletics,400m,Silver,1896
"GOLEMIS, Dimitrios",GRE,Athletics,800m,Bronze,1896
"FLACK, Edwin",AUS,Athletics,800m,Gold,1896
"DANI, Nandor",HUN,Athletics,800m,Silver,1896
"VERSIS, Sotirios",GRE,Athletics,discus throw,Bronze,1896
"GARRETT, Robert",USA,Athletics,discus throw,Gold,1896
"PARASKEVOPOULOS, Panagiotis",GRE,Athletics,discus throw,Silver,1896
"CLARK, Ellery",USA,Athletics,high jump,Gold,1896
"CONNOLLY, James",USA,Athletics,high jump,Silver,1896
"GARRETT, Robert",USA,Athletics,high jump,Silver,1896
"CONNOLLY, James",USA,Athletics,long jump,Bronze,1896
"CLARK, Ellery",USA,Athletics,long jump,Gold,1896
"GARRETT, Robert",USA,Athletics,long jump,Silver,1896
"KELLNER, Gyula",HUN,Athletics,marathon,Bronze,1896
"LOUIS, Spyridon",GRE,Athletics,marathon,Gold,1896
"VASILAKOS, Kharilaos",GRE,Athletics,marathon,Silver,1896
"DAMASKOS, Evangelos",GRE,Athletics,pole vault,Bronze,1896
"THEODOROPOULOS, Ioannis",GRE,Athletics,pole vault,Bronze,1896
"HOYT, William Welles",USA,Athletics,pole vault,Gold,1896
"TYLER, Albert",USA,Athletics,pole vault,Silver,1896
"PAPASIDERIS, Georgios",GRE,Athletics,shot put,Bronze,1896
"GARRETT, Robert",USA,Athletics,shot put,Gold,1896
"GOUSKOS, Miltiadis",GRE,Athletics,shot put,Silver,1896
"PERSAKIS, Ioannis",GRE,Athletics,triple jump,Bronze,1896
"CONNOLLY, James",USA,Athletics,triple jump,Gold,1896
"TUFFERI, Alexandre",FRA,Athletics,triple jump,Silver,1896
"BATTEL, Edward",GBR,Cycling Road,individual road race,Bronze,1896
"KONSTANTINIDIS, Aristidis",GRE,Cycling Road,individual road race,Gold,1896
"GOEDRICH, August",GER,Cycling Road,individual road race,Silver,1896
"FLAMENG, Léon",FRA,Cycling Track,100km,Gold,1896
"KOLETTIS, Georgios",GRE,Cycling Track,100km,Silver,1896
"SCHMAL, Adolf",AUT,Cycling Track,10km,Bronze,1896
"MASSON, Paul",FRA,Cycling Track,10km,Gold,1896
"FLAMENG, Léon",FRA,Cycling Track,10km,Silver,1896
"SCHMAL, Adolf",AUT,Cycling Track,12-hour race,Gold,1896
"KEEPING, Frank",GBR,Cycling Track,12-hour race,Silver,1896
"SCHMAL, Adolf",AUT,Cycling Track,1km time trial,Bronze,1896
"MASSON, Paul",FRA,Cycling Track,1km time trial,Gold,1896
"NIKOLOPOULOS, Stamatios",GRE,Cycling Track,1km time trial,Silver,1896
"FLAMENG, Léon",FRA,Cycling Track,Sprint indivual,Bronze,1896
"MASSON, Paul",FRA,Cycling Track,Sprint indivual,Gold,1896
"NIKOLOPOULOS, Stamatios",GRE,Cycling Track,Sprint indivual,Silver,1896
"PIERRAKOS-MAVROMICHALIS, Perikles",GRE,Fencing,foil individual,Bronze,1896
"GRAVELOTTE, Eugène-Henri",FRA,Fencing,foil individual,Gold,1896
"CALLOT, Henri",FRA,Fencing,foil individual,Silver,1896
"PYRGOS, Leonidas",GRE,Fencing,"foil, masters",Gold,1896
"PERRONNET, Maurice",FRA,Fencing,"foil, masters",Silver,1896
"NIELSEN, Holger",DEN,Fencing,sabre individual,Bronze,1896
"GEORGIADIS, Ioannis",GRE,Fencing,sabre individual,Gold,1896
"KARAKALOS, Telemachos",GRE,Fencing,sabre individual,Silver,1896
"WEINGÄRTNER, Hermann",GER,Artistic G.,horizontal bar,Gold,1896
"FLATOW, Alfred",GER,Artistic G.,horizontal bar,Silver,1896
"FLATOW, Alfred",GER,Artistic G.,parallel bars,Gold,1896
"ZUTTER, Louis",SUI,Artistic G.,parallel bars,Silver,1896
"ZUTTER, Louis",SUI,Artistic G.,pommel horse,Gold,1896
"WEINGÄRTNER, Hermann",GER,Artistic G.,pommel horse,Silver,1896
"PERSAKIS, Petros",GRE,Artistic G.,rings,Bronze,1896
"MITROPOULOS, Ioannis",GRE,Artistic G.,rings,Gold,1896
"WEINGÄRTNER, Hermann",GER,Artistic G.,rings,Silver,1896
